year,imdb,title,clean_test,binary,budget_2013$,domgross_2013$,intgross_2013$,adult,genres,prod_comps,overview,tagline,perc_women_producers,perc_women_directors
2011,tt1265990,The Roommate,ok,PASS,16571053,38631377.0,41942847.0,False,"Thriller,Drama,Horror","Screen Gems,Vertigo Entertainment","When Sara, a young design student from Iowa, arrives for college in Los Angeles, she is eager to fit in and get to know the big city. Her wealthy roommate, Rebecca, is more than eager to take Sara under her wing and show her the ropes. The two become close, but when Sara begins to branch out and make more friends on campus, Rebecca becomes resentful. Alarmed, Sara moves in with her new boyfriend, causing Rebecca's behavior to take a violent turn.","2,000 colleges. 8 million roommates. Which one will you get?",0.0,0.0
2011,tt0472181,The Smurfs,ok,PASS,113925987,147704169.0,583162839.0,False,"Animation,Family,Adventure,Comedy,Fantasy","Sony Pictures Animation,Kerner Entertainment Company,Columbia Pictures,Sony Pictures","When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world and into ours -- in fact, smack dab in the middle of Central Park. Just three apples high and stuck in the Big Apple, the Smurfs must find a way to get back to their village before Gargamel tracks them down.",Smurf Happens.,0.0,0.0
2011,tt1509767,The Three Musketeers,men,FAIL,93212171,21105217.0,144870266.0,False,"Adventure,Action,Thriller","Summit Entertainment,Constantin Film,Impact Pictures,Deutscher Filmförderfonds,Nouvelles Éditions de Films (NEF),New Legacy Film,Studio Babelsberg",The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,Every legend has a new beginning.,0.0,0.0
2011,tt0478304,The Tree of Life,nowomen,FAIL,36249178,13780555.0,64529403.0,False,"Drama,Fantasy","Plan B Entertainment,Fox Searchlight Pictures,River Road Entertainment,Brace Cove Productions,Summit Entertainment","The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father. Jack finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith.",Nothing stands still.,0.4,0.0
2011,tt1324999,The Twilight Saga: Breaking Dawn - Part 1,ok,PASS,132050575,291326492.0,735276926.0,False,"Adventure,Fantasy,Romance","Summit Entertainment,Sunswept Entertainment,TSBD Canada Productions,TSBD Louisiana,TSBD Productions,Temple Hill Entertainment,Total Entertainment",The new found married bliss of Bella Swan and vampire Edward Cullen is cut short when a series of betrayals and misfortunes threatens to destroy their world.,Forever is just the beginning,0.6666666666666666,0.0
2011,tt0800369,Thor,ok,PASS,155353618,187491749.0,465363438.0,False,"Adventure,Fantasy,Action",Marvel Studios,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",Two worlds. One hero.,0.0,0.0
2011,tt1340800,Tinker Tailor Soldier Spy,notalk,FAIL,21749507,25011304.0,84359926.0,False,"Drama,Thriller,Mystery","StudioCanal,Kinowelt Filmproduktion,CinéCinéma,Working Title Films,Karla Films,Canal+,Focus Features,TTSS,AZ Celtic Films","In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet mole within his former colleagues at the heart of MI6.",How do you find an enemy who is hidden right before your eyes?,0.0,0.0
2011,tt0471042,Tower Heist,notalk,FAIL,88033717,80832113.0,158947830.0,False,"Action,Comedy","Universal Pictures,Image Entertainment,Relativity Media,Rat Entertainment","A luxury condo manager leads a staff of workers to seek payback on the Wall Street swindler who defrauded them. With only days until the billionaire gets away with the perfect crime, the unlikely crew of amateur thieves enlists the help of petty crook Slide to steal the $20 million they’re sure is hidden in the penthouse.",Ordinary guys. An extraordinary robbery.,0.3333333333333333,0.0
2011,tt1399103,Transformers: Dark of the Moon,ok,PASS,201959703,364967639.0,1163903170.0,False,"Action,Science Fiction,Adventure","Paramount,Di Bonaventura Pictures,Tom DeSanto/Don Murphy Production,Ian Bryce Productions","The Autobots continue to work for NEST, now no longer in secret. But after discovering a strange artifact during a mission in Chernobyl, it becomes apparent to Optimus Prime that the United States government has been less than forthright with them.",The invasion we always feared. An enemy we never expected.,0.0,0.0
2011,tt1568911,War Horse,notalk,FAIL,72498355,82734459.0,162412399.0,False,"War,Drama,Action","Touchstone Pictures,Amblin Entertainment,Reliance Entertainment,DreamWorks Pictures,The Kennedy/Marshall Company","On the brink of the First World War, Albert's beloved horse Joey is sold to the Cavalry by his father. Against the backdrop of the Great War, Joey begins an odyssey full of danger, joy, and sorrow, and he transforms everyone he meets along the way. Meanwhile, Albert, unable to forget his equine friend, searches the battlefields of France to find Joey and bring him home.",Separated by war. Tested by battle. Bound by friendship.,0.5,0.0
2011,tt1291584,Warrior,notalk,FAIL,25892270,14144548.0,25079651.0,False,"Drama,Action","Lionsgate,Mimran Schur Pictures,Solaris Film,Filmtribe","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament – a path that puts the fighter on a collision course with his estranged, older brother.",Family is worth fighting for.,0.0,0.0
2011,tt1389137,We Bought a Zoo,men,FAIL,51784539,78323650.0,123169061.0,False,"Drama,Comedy,Family","Dune Entertainment,Estrella Media,Vinyl Films,20th Century Fox","Benjamin has lost his wife and, in a bid to start his life over, purchases a large house that has a zoo – welcome news for his daughter, but his son is not happy about it. The zoo is in need of renovation and Benjamin sets about the work with the head keeper and the rest of the staff, but, the zoo soon runs into financial trouble.",A True Zoo Story,0.3333333333333333,0.0
2011,tt1714210,Weekend,notalk,FAIL,196781,501887.0,1633890.0,False,"Drama,Romance","The Bureau,EM Media,Glendale Picture Company,Synchronicity Films","After a drunken house party with his straight mates, Russell heads out to a gay club. Just before closing time he picks up Glen but what's expected to be just a one-night stand becomes something else, something special.",A (sort of) love story between two guys over a cold weekend in October.,0.0,0.0
2011,tt0770703,What&#39;s Your Number,ok,PASS,20713816,14511151.0,31807187.0,False,"Comedy,Romance","Regency Enterprises,New Regency Pictures,Contrafilm","Ally Darling is realizing she's a little lost in life. Her latest romance has just fizzled out, and she's just been fired from her marketing job. Then she reads an eye-opening magazine article that warns that 96 percent of women who've been with 20 or more lovers are unlikely to find a husband. Determined to turn her life around and prove the article wrong, Ally embarks on a mission to find the perfect mate from among her numerous ex-boyfriends.",Ally's looking for the best ex of her life.,,0.0
2011,tt1449283,Winnie the Pooh,nowomen,FAIL,31070724,27645535.0,51935343.0,False,"Animation,Family,Adventure","Walt Disney Animation Studios,Walt Disney Pictures","During an ordinary day in Hundred Acre Wood, Winnie the Pooh sets out to find some honey. Misinterpreting a note from Christopher Robin, Owl convinces Pooh, Tigger, Rabbit, Piglet, Kanga, Roo, and Eeyore that their young friend has been captured by a creature named ""Backson"" and they set out to rescue him.",Oh Pooh.,0.0,0.0
2011,tt1270798,X-Men: First Class,ok,PASS,165710526,151633733.0,368093107.0,False,"Action,Science Fiction,Adventure","The Donners' Company,Bad Hat Harry Productions,20th Century Fox","Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were arch-enemies, they were closest of friends, working together with other mutants (some familiar, some new), to stop the greatest threat the world has ever known.",Witness the moment that will change our world.,0.25,0.0
2011,tt1625346,Young Adult,ok,PASS,12428289,16893744.0,23562334.0,False,"Comedy,Drama","Indian Paintbrush,Paramount,Denver and Delilah Productions,Right of Way Films","A divorced writer from the Midwest returns to her hometown to reconnect with an old flame, who's now married with a family.",Everyone gets old. Not everyone grows up.,0.4,0.0
2011,tt1742336,Your Sister&#39;s Sister,ok,PASS,124283,1654502.0,3200899.0,False,Comedy,Ada Films,"Iris invites her friend Jack to stay at her family's island getaway after the death of his brother. At their remote cabin, Jack's drunken encounter with Hannah, Iris' sister, kicks off a revealing stretch of days.",A comedy about doing the right thing with the wrong person.,0.0,1.0
2010,tt1542344,127 Hours,dubious,FAIL,19228173,19586277.0,64879307.0,False,"Adventure,Drama,Thriller","Fox Searchlight Pictures,Pathé,Everest Entertainment,HandMade Films,Warner Bros. Pictures,Film4 Productions,Cloud Eight Films",The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,There is no force more powerful than the will to live.,0.0,0.0
2010,tt1014759,Alice in Wonderland,ok,PASS,213646368,356993585.0,1094287202.0,False,"Family,Fantasy,Adventure","Walt Disney Pictures,Roth Films,Team Todd,Tim Burton Productions,The Zanuck Company","Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",You're invited to a very important date.,0.6,0.0
2010,tt1313092,Animal Kingdom,notalk,FAIL,4486574,1115276.0,8629906.0,False,"Crime,Drama","Porchlight Films,Screen Australia,Film Victoria,Screen NSW,Fulcrum Media Finance,Showtime Australia","Joshua “J” is taken in by his extended family after his mother dies of an overdose. The clan, ruled by J’s scheming grandmother, is heavily involved in criminal activities, and J is soon indoctrinated into their way of life. But J is given a chance to take another path when a cop seeks to help him.",A crime story,1.0,0.0
2010,tt1431181,Another Year,ok,PASS,8545855,3424437.0,19768384.0,False,"Drama,Comedy","Thin Man Films,Film4 Productions,Focus Features,UK Film Council,National Lottery,Simon Channing Production","During a year, a very content couple approaching retirement are visited by friends and family less happy with their lives.",,1.0,0.0
2010,tt1423894,Barney&#39;s Version,ok,PASS,32046955,8014473.0,9449125.0,False,"Comedy,Drama","Serendipity Point Films,Fandango,Essential Entertainment,Téléfilm Canada","The picaresque and touching story of the politically incorrect, fully lived life of the impulsive, irascible and fearlessly blunt Barney Panofsky.",First he got married. Then he got married again. Then he met the love of his life.,0.0,0.0
2010,tt1532503,Beginners,notalk,FAIL,3418342,6186017.0,12353318.0,False,"Drama,Romance,Comedy","Parts and Labor,Olympus Pictures,Focus Features","Oliver meets the irreverent and unpredictable Anna only months after his father Hal Fields has passed away. This new love floods Oliver with memories of his father, who, following the death of his wife of 44 years, came out of the closet at age 75 to live a full, energized, and wonderfully tumultuous gay life – which included a younger boyfriend.",This is what love feels like.,0.3333333333333333,0.0
2010,tt1164999,Biutiful,notalk,FAIL,37388114,5449304.0,26813941.0,False,Drama,"Menageatroz,Mod Producciones,Focus Features,Ikiru Films,TV3,TVE,LD Entertainment","This is a story of a man in free fall. On the road to redemption, darkness lights his way. Connected with the afterlife, Uxbal is a tragic hero and father of two who's sensing the danger of death. He struggles with a tainted reality and a fate that works against him in order to forgive, for love, and forever.","You don't choose your family. We all belong to somebody, but to belong to Uxbal and Marambra, is both a blessing and a curse.",0.2857142857142857,0.0
2010,tt0947798,Black Swan,ok,PASS,13887014,114252393.0,353869648.0,False,"Drama,Thriller,Horror","Fox Searchlight Pictures,Cross Creek Pictures",A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.,,0.14285714285714285,0.0
2010,tt1120985,Blue Valentine,men,FAIL,1068232,10402326.0,17696585.0,False,"Drama,Romance","Cottage Industries,Incentive Filmed Entertainment,Silverwood Films,Hunting Lane Films,Chrysler Corporation,Shade Pictures,Motel Movies","Dean and Cindy live a quiet life in a modest neighborhood. They appear to have the world at their feet at the outset of the relationship. However, his lack of ambition and her retreat into self-absorption cause potentially irreversible cracks in their marriage.",A Love Story.,0.3333333333333333,0.0
2010,tt1126591,Burlesque,ok,PASS,58752751,42131764.0,95774887.0,False,"Drama,Romance","Screen Gems,Bedford Falls Productions","Ali leaves behind a troubled life and follows her dreams to Los Angeles, where she lands a job as a cocktail waitress at the Burlesque Lounge, a once-majestic theater that houses an inspired musical revue. Vowing to perform there, she makes the leap from bar to stage, helping restore the club's former glory.",It takes a legend... to make a star,0.0,0.0
2010,tt1194417,Casino Jack,notalk,FAIL,13352898,2179053.0,2222851.0,False,"Comedy,Crime,Drama","Vortex Words Pictures,An Olive Branch Productions,Bagman (2009),Hannibal Pictures,MCG,Rollercoaster Entertainment,Trigger Street Productions","Based on a true story, a hot shot Washington DC lobbyist and his protégé go down hard as their schemes to peddle influence lead to corruption and murder.",Honor. Integrity. Principles. Everything is negotiable.,0.0,0.0
2010,tt1020558,Centurion,notalk,FAIL,16023478,132001.0,7075508.0,False,"Adventure,Action,Drama","Pathé Pictures International,UK Film Council,Celador Films,CinéCinéma,Warner Bros. Pictures,Canal+","Britain, A.D. 117. Quintus Dias, the sole survivor of a Pictish raid on a Roman frontier fort, marches north with General Virilus' legendary Ninth Legion, under orders to wipe the Picts from the face of the Earth and destroy their leader, Gorlacon.",History is written in blood,0.25,0.0
2010,tt1438254,Charlie St. Cloud,notalk,FAIL,47002201,33335524.0,51785833.0,False,"Drama,Romance","Marc Platt Productions,Universal Pictures,Relativity Media","Accomplished sailor Charlie St. Cloud has the adoration of his mother Claire and his little brother Sam, as well as a college scholarship that will lead him far from his sleepy Pacific Northwest hometown. But his bright future is cut short when a tragedy strikes and takes his dreams with it. After his high-school classmate Tess returns home unexpectedly, Charlie grows torn between honoring a promise he made four years earlier and moving forward with newfound love. And as he finds the courage to let go of the past for good, Charlie discovers the soul most worth saving is his own.",Life is for living.,0.0,0.0
2010,tt0800320,Clash of the Titans,dubious,FAIL,133528980,174351340.0,526867848.0,False,"Adventure,Fantasy,Action","The Zanuck Company,Legendary Pictures,Thunder Road,Moving Picture Company,Warner Bros. Pictures","Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",Titans will clash.,0.0,0.0
2010,tt1244754,Conviction,ok,PASS,13352898,7261515.0,10824983.0,False,Drama,"Pantheon Entertainment Corporation,Omega Entertainment,Longfellow Pictures,Oceana Media Finance,Prescience,Innocence Productions","When Betty Anne Waters' older brother Kenny is arrested for murder and sentenced to life in 1983, Betty Anne, a Massachusetts wife and mother of two, dedicates her life to overturning the murder conviction. Convinced that her brother is innocent, Betty Anne puts herself through high school, college and, finally, law school in an 18 year quest to free Kenny. With the help of best friend Abra Rice, Betty Anne pores through suspicious evidence mounted by small town cop Nancy Taylor, meticulously retracing the steps that led to Kenny's arrest. Belief in her brother - and her quest for the truth - pushes Betty Anne and her team to uncover the facts and utilize DNA evidence with the hope of exonerating Kenny.",An extraordinary journey of how far we go to fight for our family.,0.0,0.0
2010,tt1385867,Cop Out,notalk,FAIL,39524578,47937418.0,59724746.0,False,"Action,Comedy,Crime",Marc Platt Productions,"Detectives Jimmy and Paul, despite nine years as partners, can still sometimes seem like polar opposites—especially when Paul's unpredictable antics get them suspended without pay. Already strapped for cash and trying to pay for his daughter's wedding, Jimmy decides to sell a rare baseball card that's worth tens of thousands. Unfortunately, when the collector's shop is robbed and the card vanishes with the crook, Paul and Jimmy end up going rogue, tracking down the card and the drug ring behind its theft, all on their own time and without any backup—except for each other.",Rock out with your Glock out,0.3333333333333333,0.0
2010,tt1555064,Country Strong,ok,PASS,16023478,21598495.0,21953741.0,False,"Drama,Romance,Music","Maguire Entertainment,Screen Gems,Sony Pictures Home Entertainment,Material Pictures,TVM Studios","Soon after the rising young singer-songwriter Beau Williams gets involved with a fallen, emotionally unstable country star Kelly Canter, the pair embark on a career resurrection tour helmed by her husband/manager James and featuring a beauty queen-turned-singer Chiles Stanton. Between concerts, romantic entanglements and old demons threaten to derail them all.",It doesn't matter where you've been as long as you come back strong.,0.5,1.0
2010,tt1336617,Cyrus,notalk,FAIL,7477623,7978555.0,10724926.0,False,"Comedy,Drama,Romance",Scott Free Productions,"With John's social life at a standstill and his ex-wife about to get remarried, a down on his luck divorcée finally meets the woman of his dreams, only to discover she has another man in her life - her son. Before long, the two are locked in a battle of wits for the woman they both love-and it appears only one man can be left standing when it's over.",John met the woman of his dreams. Then he met her son...,0.0,0.0
2010,tt1279935,Date Night,ok,PASS,58752751,105446665.0,162658630.0,False,"Comedy,Action,Adventure","Dune Entertainment,21 Laps Entertainment,TSG Entertainment","Phil and Claire Foster fear that their mild-mannered relationship may be falling into a stale rut. During their weekly date night, their dinner reservation leads to their being mistaken for a couple of thieves—and now a number of unsavoury characters want Phil and Claire killed.",One ordinary couple. One little white lie.,0.0,0.0
2010,tt0989757,Dear John,nowomen,FAIL,26705796,85474402.0,118960872.0,False,"Drama,Romance,War","Screen Gems,Relativity Media,Mandate International,Temple Hill Entertainment","While Sergeant John Tyree is home on two weeks leave from Germany, he meets Savannah after he dives into the ocean to retrieve Savannah's purse that had fallen off a pier. John eventually falls in love with Savannah, who promises to write to him until he returns from overseas.",Love brought them together. Will fate tear them apart?,0.0,0.0
2010,tt1323594,Despicable Me,ok,PASS,73707997,268675247.0,580578700.0,False,"Family,Animation,Comedy,Crime","Illumination,Universal Pictures","Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",Superbad. Superdad.,0.0,0.0
2010,tt1314655,Devil,ok,PASS,10682318,35977680.0,67676882.0,False,"Horror,Mystery,Thriller","Universal Pictures,MRC,Night Chronicles,Relativity Media","A group of people are trapped in an elevator high above Philadelphia, and one of them is the devil.",Bad Things Happen For A Reason,0.0,0.0
2010,tt1196141,Diary of a Wimpy Kid,ok,PASS,16023478,68370710.0,82205045.0,False,"Comedy,Family","Dayday Films,Color Force,Dune Entertainment","Greg Heffley is headed for big things, but first he has to survive the scariest, most humiliating experience of any kid’s life – middle school! That won’t be easy, considering he’s surrounded by hairy-freckled morons, wedgie-loving bullies and a moldy slice of cheese with nuclear cooties!","It's not a diary, it's a movie.",0.5,0.0
2010,tt0427152,Dinner for Schmucks,notalk,FAIL,73707997,78009058.0,92718787.0,False,Comedy,"Everyman Pictures,Paramount,Spyglass Entertainment,Reliance Big Entertainment,Parkes/MacDonald Productions,DreamWorks Pictures","Rising executive Tim Conrad works for a boss who hosts a monthly dinner in which the guest who brings the biggest buffoon gets a career-boost. Tim plans on not attending until he meets Barry, a man who builds dioramas using stuffed mice. Barry's blundering but good intentions send Tim's life into a downward spiral, threatening a major business deal and possibly scuttling Tim's engagement to his fiancee.",Takes One To Know One.,0.3333333333333333,0.0
2010,tt1270761,Don&#39;t Be Afraid of the Dark,ok,PASS,26705796,25687431.0,33703834.0,False,"Fantasy,Horror,Thriller","Miramax,FilmDistrict,Necropia Entertainment,Gran Via Productions,Tequila Gang",A young girl sent to live with her father and his new girlfriend discovers creatures in her new home who want to claim her as one of their own.,Fear is never just make believe,0.0,0.0
2010,tt1231583,Due Date,notalk,FAIL,69435070,107399007.0,226186388.0,False,"Comedy,Drama","Legendary Pictures,Green Hat Films,Warner Bros. Pictures","Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor.",Leave your comfort zone.,0.0,0.0
2010,tt1013860,Dylan Dog: Dead of Night,nowomen,FAIL,21364637,1267498.0,6506276.0,False,"Action,Comedy,Horror,Mystery,Science Fiction,Thriller","Hyde Park Films,platinum studios,Long Distance Films","Supernatural private eye, Dylan Dog, seeks out the monsters of the Louisiana bayou in his signature red shirt, black jacket and blue jeans.",No pulse? No problem,,0.0
2010,tt1282140,Easy A,ok,PASS,8545855,62386303.0,81400037.0,False,Comedy,"Screen Gems,Olive Bridge Entertainment","Olive, an average high school student, sees her below-the-radar existence turn around overnight once she decides to use the school's gossip grapevine to advance her social standing. Now her classmates are turning against her and the school board is becoming concerned, including her favorite teacher and the distracted guidance counselor. With the support of her hilariously idiosyncratic parents and a little help from a long-time crush, Olive attempts to take on her notorious new identity and crush the rumor mill once and for all.",A comedy about a good girl a small favor and a big rumor,0.5,0.0
2010,tt0879870,"Eat, Pray, Love",ok,PASS,64093910,86071723.0,219892171.0,False,"Drama,Romance","Red Om Films,Columbia Pictures,Plan B Entertainment","Liz Gilbert had everything a modern woman is supposed to dream of having – a husband, a house and a successful career – yet like so many others, she found herself lost, confused and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy, the power of prayer in India and, finally and unexpectedly, the inner peace and balance of true love in Bali.",Let Yourself GO,1.0,0.0
2010,tt1226273,Edge of Darkness,notalk,FAIL,64093910,46269276.0,86749716.0,False,"Crime,Drama,Mystery,Thriller","Icon Productions,GK Films,BBC Film,Warner Bros. Pictures","As a seasoned homicide detective, Thomas Craven has seen the bleakest side of humanity. But nothing prepares him for the toughest investigation of his life: the search for his only daughter Emma's killer. Now, he is on a personal mission to uncover the disturbing secrets surrounding her murder, including corporate corruption, government collusion and Emma's own mysterious life.",Some secrets take us to the edge.,0.0,0.0
2010,tt1531663,Everything Must Go,notalk,FAIL,5341159,2897185.0,2897185.0,False,"Comedy,Drama,Romance",IM Global,"When an alcoholic relapses, causing him to lose his wife and his job, he holds a yard sale on his front lawn in an attempt to start over. A new neighbor might be the key to his return to form.",Lost is a good place to find yourself,0.0,0.0
2010,tt0977855,Fair Game,ok,PASS,53411592,12281992.0,27878177.0,False,"Drama,Thriller","River Road Entertainment,Participant,Fair Game Productions,Dillywood,Hypnotic,Weed Road Pictures,Zucker Productions,Imagenation Abu Dhabi FZ","Wife and mother Valerie Plame has a double life as a CIA operative, hiding her vocation from family and friends. Her husband, Joseph Wilson, writes a controversial article in The New York Times, refuting stories about the sale of enriched uranium to Iraq, Then Valerie's secret work and identity is leaked to the press. With her cover blown and other people endangered, Valerie's career and personal life begin to unravel.",Wife. Mother. Spy.,0.16666666666666666,0.0
2010,tt1433108,Faster,nowomen,FAIL,12818782,24825729.0,38091703.0,False,"Crime,Drama,Action,Thriller","Castle Rock Entertainment,State Street Pictures","After 10 years in prison, Driver is now a free man with a single focus - hunting down the people responsible for brutally murdering his brother.",Slow justice is no justice,0.25,0.0
2010,tt1405500,For Colored Girls,ok,PASS,22432869,40304065.0,40611902.0,False,Drama,Lions Gate Films,"About existence from the perspective of 20 nameless black females. Each of the women portray one of the characters represented in the collection of twenty poems, revealing different issues that impact women in general and women of color in particular.",Many voices. One poem.,0.0,0.0
2010,tt1323045,Frozen,notalk,FAIL,160234776,419868647.0,1073092418.0,False,Thriller,"ArieScope Pictures,A Bigger Boat","When three skiers find themselves stranded on a chair lift at a New England ski resort that has closed for the next week, they are forced to make life or death choices that prove to be more perilous than staying put and freezing to death.",No one knows you're up there.,0.0,0.0
2010,tt1226229,Get Him To The Greek,notalk,FAIL,42729274,65326144.0,97696078.0,False,"Adventure,Comedy,Music","Apatow Productions,Universal Pictures,Relativity Media,Spyglass Entertainment","Pinnacle records has the perfect plan to get their sinking company back on track: a comeback concert in LA featuring Aldous Snow, a fading rockstar who has dropped off the radar in recent years. Record company intern Aaron Green is faced with the monumental task of bringing his idol, out of control rock star Aldous Snow, back to LA for his comeback show.",Aaron Green has 72 hours to get a Rock Star from London to L.A. Pray for him.,0.0,0.0
2010,tt1322312,Going the Distance,ok,PASS,34183419,19019119.0,42718768.0,False,"Comedy,Drama,Romance","New Line Cinema,Offspring Entertainment","Erin and Garrett are very much in love. When Erin moves to San Francisco to finish her journalism degree and Garrett stays behind in New York to work in the music industry, they gamely keep the romance alive with webcams and frequent-flyer miles. But just when it seems the lovers will soon be reunited, they each score a big break that could separate them for good.",A comedy about meeting each other halfway.,0.3333333333333333,1.0
2010,tt0947810,Green Zone,nowomen,FAIL,106823184,37919386.0,104177195.0,False,"War,Action,Adventure,Drama,Thriller","Universal Pictures,StudioCanal,Relativity Media,Working Title Films,dentsu,Atresmedia,Kanzaman Productions","During the U.S.-led occupation of Baghdad in 2003, Chief Warrant Officer Roy Miller and his team of Army inspectors are dispatched to find weapons of mass destruction believed to be stockpiled in the Iraqi desert. Rocketing from one booby-trapped and treacherous site to the next, the men search for deadly chemical agents but stumble instead upon an elaborate cover-up that threatens to invert the purpose of their mission.",Chief Warrant Officer Roy Miller is done following orders,0.125,0.0
2010,tt1375670,Grown Ups,ok,PASS,80117388,173054825.0,290797736.0,False,Comedy,"Columbia Pictures,Relativity Media,Sony Pictures,Happy Madison Productions","After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",Boys will be boys. . . some longer than others.,0.0,0.0
2010,tt1376195,Gunless,men,FAIL,10575495,489308.0,489308.0,False,"Drama,Action,Comedy,Western","Alliance Films,Rhombus Media,Brightlight Pictures,Téléfilm Canada,Corus Entertainment,Astral Media,Gunless Productions",American gunslinger Sean Rafferty—aka The Montana Kid—is unable to find someone to duel in a Canadian town where no one understands the brutal code of the American Wild West.,Fastest draw in the North... kinda.,0.14285714285714285,0.0
2010,tt0926084,Harry Potter and the Deathly Hallows: Part 1,ok,PASS,133528980,316178791.0,1021656625.0,False,"Adventure,Fantasy","Warner Bros. Pictures,Heyday Films","Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",One Way… One Fate… One Hero.,0.3333333333333333,0.0
2010,tt1231587,Hot Tub Time Machine,notalk,FAIL,38456346,53699864.0,67522890.0,False,"Science Fiction,Comedy,Adventure","United Artists,New Crime Productions,Metro-Goldwyn-Mayer","Four pals are stuck in a rut in adulthood: Adam has just been dumped, Lou is a hopeless party animal, Craig is a henpecked husband, and Jacob does nothing but play video games in his basement. But they get a chance to brighten their future by changing their past after a night of heavy drinking in a ski-resort hot tub results in their waking up in 1986.",Kick some serious past!,0.0,0.0
2010,tt0892769,How to Train Your Dragon,ok,PASS,176258254,232427199.0,528636950.0,False,"Fantasy,Adventure,Animation,Family",DreamWorks Animation,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",One adventure will change two worlds,1.0,0.0
2010,tt1226236,I Am Love,ok,PASS,10682318,5346997.0,16164710.0,False,"Drama,Romance",RAI,"Emma has left Russia to live with her husband in Italy. Now a member of a powerful industrial family, she is the respected mother of three, but feels unfulfilled. One day, Antonio, a talented chef and her son's friend, makes her senses kindle.",,0.16666666666666666,0.0
2010,tt1375666,Inception,dubious,FAIL,170917095,312539208.0,889393184.0,False,"Action,Science Fiction,Adventure","Legendary Pictures,Syncopy,Warner Bros. Pictures","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",Your mind is the scene of the crime.,0.25,0.0
2010,tt1591095,Insidious,ok,PASS,1602348,57694294.0,106685260.0,False,"Horror,Thriller","FilmDistrict,Stage 6 Films,Alliance Films,IM Global,Haunted Movies,Blumhouse Productions","A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought.",It's not the House that's Haunted.,0.0,0.0
2010,tt1228705,Iron Man 2,ok,PASS,181599413,333751233.0,666108069.0,False,"Adventure,Action,Science Fiction",Marvel Studios,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.","It's not the armor that makes the hero, but the man inside.",0.0,0.0
